Aruba,102921
Andorra,75902
Afghanistan,30682500
Angola,23448202
Albania,2897366
United Arab Emirates,9039978
Argentina,42538304
Armenia,2992192
American Samoa,55302
Antigua and Barbuda,89985
Australia,23125868
Austria,8479375
Azerbaijan,9416801
Burundi,10465959
Belgium,11182817
Benin,10322232
Burkina Faso,17084554
Bangladesh,157157394
Bulgaria,7265115
Bahrain,1349427
The Bahamas,377841
Bosnia and Herzegovina,3823533
Belarus,9466000
Belize,344193
Bermuda,65001
Bolivia,10399931
Brazil,204259377
Barbados,282503
Brunei Darussalam,411499
Bhutan,754637
Botswana,2176510
Central African Republic,4710678
Canada,35158304
Switzerland,8089346
Channel Islands,162138
Chile,17575833
China,1357380000
Cote d'Ivoire,21622490
Cameroon,22211166
Republic of the Congo,4394334
Colombia,47342363
Comoros,751697
Cabo Verde,507258
Costa Rica,4706433
Cuba,11362505
Curacao,153821
Cayman Islands,58369
Cyprus,1141652
Czech Republic,10514272
Germany,80645605
Djibouti,864554
Dominica,72005
Denmark,5614932
Dominican Republic,10281408
Algeria,38186135
Ecuador,15661312
Arab Republic of Egypt,87613909
Eritrea,4998824
Spain,46620045
Estonia,1317997
Ethiopia,94558374
Finland,5438972
Fiji,880487
France,65925498
Faeroe Islands,48292
Federated States of Micronesia,103718
Gabon,1650351
United Kingdom,64106779
Georgia,4487200
Ghana,26164432
Guinea,11948726
The Gambia,1866878
Guinea-Bissau,1757138
Equatorial Guinea,797082
Greece,11027549
Grenada,105902
Greenland,56483
Guatemala,15690793
Guam,165121
Guyana,761033
Hong Kong,7187500
Honduras,7849059
Croatia,4255700
Haiti,10431249
Hungary,9893082
Indonesia,251268276
Isle of Man,86462
India,1279498874
Ireland,4598294
The Islamic Republic of Iran,77152445
Iraq,33781385
Iceland,323764
Israel,8059500
Italy,60233948
Jamaica,2714734
Jordan,6460000
Japan,127338621
Kazakhstan,17035275
Kenya,43692881
Kyrgyz Republic,5719600
Cambodia,15078564
Kiribati,108544
St. Kitts and Nevis,54301
South Korea,50219669
Kosovo,1818117
Kuwait,3593689
Lao PDR,6579985
Lebanon,4493438
Liberia,4293692
Libya,6265987
St. Lucia,182305
Liechtenstein,37040
Sri Lanka,20483000
Lesotho,2083061
Lithuania,2957689
Luxembourg,543360
Latvia,2012647
Macao,568056
St. Martin (French part),31264
Morocco,33452686
Monaco,37528
Moldova,3558566
Madagascar,22924557
Maldives,351111
Mexico,123740109
Marshall Islands,52786
North Macedonia,2072543
Mali,16592097
Malta,423374
Myanmar,52983829
Montenegro,621207
Mongolia,2859174
Northern Mariana Islands,53869
Mozambique,26467180
Mauritania,3872684
Mauritius,1258653
Malawi,16190126
Malaysia,29465372
Namibia,2346592
New Caledonia,262000
Niger,18358863
Nigeria,172816517
Nicaragua,5945646
Netherlands,16804432
Norway,5079623
Nepal,27834981
New Zealand,4442100
Oman,3906912
Pakistan,181192646
Panama,3805683
Peru,30565461
Philippines,97571676
Palau,20919
Papua New Guinea,7308864
Poland,38040196
Puerto Rico,3595839
North Korea,24895705
Portugal,10457295
Paraguay,6465669
French Polynesia,276766
Qatar,2101288
Romania,19983693
Russian Federation,143506911
Rwanda,11078095
Saudi Arabia,30201051
Sudan,38515095
Senegal,14221041
Singapore,5399200
Solomon Islands,560685
Sierra Leone,6178859
El Salvador,6089644
San Marino,31391
Somalia,10268157
Serbia,7164132
South Sudan,11453810
Sao Tome and Principe,182386
Suriname,533450
Slovak Republic,5413393
Slovenia,2059953
Sweden,9600379
Swaziland,1250641
Sint Maarten (Dutch part),36607
Seychelles,89900
Syrian Arab Republic,21789415
Turks and Caicos Islands,33103
Chad,13145788
Togo,6928719
Thailand,67451422
Tajikistan,8111894
Turkmenistan,5240088
Timor-Leste,1180069
Tonga,105139
Trinidad and Tobago,1348240
Tunisia,10886500
Turkey,75010202
Tuvalu,9876
Tanzania,50213457
Uganda,36573387
Ukraine,45489600
Uruguay,3407969
United States,316497531
Uzbekistan,30243200
St. Vincent and the Grenadines,109327
Venezuela,30276045
Virgin Islands (U.S.),104737
Vietnam,89708900
Vanuatu,253165
West Bank and Gaza,4169506
Samoa,190390
Yemen,25533217
South Africa,53157490
The Democratic Republic of the Congo,72552861
Zambia,15246086
Zimbabwe,14898092
