California Institute of Technology,1
University of Oxford,2
Stanford University,3
University of Cambridge,4
Massachusetts Institute of Technology,5
Harvard University,6
Princeton University,7
Imperial College London,8
ETH Zurich – Swiss Federal Institute of Technology Zurich,9
University of Chicago,10
Johns Hopkins University,11
Yale University,12
University of California Berkeley,13
University College London,14
Columbia University,15
University of California Los Angeles,16
University of Pennsylvania,17
Cornell University,18
University of Toronto,19
Duke University,20
University of Michigan,21
Carnegie Mellon University,22
London School of Economics and Political Science,23
University of Edinburgh,24
Northwestern University,25
National University of Singapore,26
King’s College London,27
Karolinska Institute,28
LMU Munich,29
New York University,30
École Polytechnique Fédérale de Lausanne,31
University of Washington,32
University of Melbourne,33
University of British Columbia,34
KU Leuven,35
University of Illinois at Urbana-Champaign,36
Heidelberg University,37
McGill University,38
University of California San Diego,39
University of California Santa Barbara,39
Georgia Institute of Technology,41
Peking University,42
University of Tokyo,43
University of California Davis,44
University of Hong Kong,44
University of Texas at Austin,46
Tsinghua University,47
Wageningen University and Research Center,47
Humboldt University of Berlin,49
University of Wisconsin-Madison,50
Brown University,51
Australian National University,52
Technical University of Munich,53
École Normale Supérieure,54
Nanyang Technological University,55
University of Manchester,56
University of Sydney,56
University of Amsterdam,58
Hong Kong University of Science and Technology,59
The University of Queensland,60
Washington University in St Louis,60
Utrecht University,62
University of North Carolina at Chapel Hill,63
Boston University,64
Delft University of Technology,65
University of Minnesota,65
Leiden University,67
University of Southern California,68
University of Bristol,69
Durham University,70
Erasmus University Rotterdam,71
Free University of Berlin,72
Monash University,73
University of Groningen,74
Pennsylvania State University,75
University of Glasgow,76
University of Helsinki,76
University of Tübingen,78
University of Pittsburgh,79
University of Warwick,80
Uppsala University,81
University of Copenhagen,82
University of New South Wales,82
University of Freiburg,84
Seoul National University,85
University of St Andrews,86
Vanderbilt University,87
Kyoto University,88
Maastricht University,88
Emory University,90
Lund University,90
Ohio State University,90
University of Exeter,93
Georgetown University,94
McMaster University,94
University of Bonn,94
University of Sheffield,97
Queen Mary University of London,98
Michigan State University,99
University of Göttingen,99
École Polytechnique,101
Rice University,101
University of Basel,101
Dartmouth College,104
University of Zurich,104
Aarhus University,106
University of California Irvine,106
University of Mannheim,106
University of Notre Dame,108
University of Western Australia,109
RWTH Aachen University,110
University of Southampton,110
Scuola Normale Superiore di Pisa,112
Pierre and Marie Curie University,113
Purdue University,113
University of Montreal,113
Pohang University of Science and Technology,116
University of Maryland College Park,117
Ghent University,118
University of Birmingham,119
University of Bern,120
University of Cape Town,120
University of Florida,120
Rutgers the State University of New Jersey,123
University of Erlangen-Nuremberg,123
Radboud University Nijmegen,125
University of Münster,125
Tufts University,127
University of Colorado Boulder,127
Royal Holloway University of London,129
Lancaster University,130
University of Geneva,131
University of York,131
Case Western Reserve University,133
University of Leeds,133
University of Oslo,135
Stockholm University,136
University of Alberta,137
Chinese University of Hong Kong,138
Karlsruhe Institute of Technology,138
University of Sussex,140
University of Massachusetts,141
University of Vienna,142
University of Nottingham,143
University of California Santa Cruz,144
University of Lausanne,144
Autonomous University of Barcelona,146
University of Virginia,147
Korea Advanced Institute of Science and Technology (KAIST),148
University of Adelaide,149
University of East Anglia,149
University of Twente,149
Sungkyunkwan University (SKKU),153
VU University Amsterdam,154
KTH Royal Institute of Technology,155
University of Cologne,156
University of Liverpool,157
TU Dresden,158
University of Rochester,158
Trinity College Dublin,160
Lomonosov Moscow State University,161
University of Miami,161
University of Arizona,163
Pompeu Fabra University,164
University of Reading,164
Yeshiva University,164
National Taiwan University,167
Technical University of Denmark,167
Université Catholique de Louvain,167
