10 Cloverfield Lane,2016
10.000 A.C.,2008
21 Jump Street,2012
22 Jump Street,2014
24 Hour Party People,2002
9 Songs,2004
A Beautiful Day - You Were Never Really Here,2017
A Beautiful Mind,2001
A Bug's Life - Megaminimondo,1998
A Christmas Carol,2009
A Civil Action,1998
A Dangerous Method,2011
A History of Violence,2005
A Perfect Getaway - Una perfetta via di fuga,2009
A Scanner Darkly - Un oscuro scrutare,2006
A Star Is Born,2018
A Wrinkle in Time,2018
About a Boy - Un ragazzo,2002
Across the Universe,2007
Adam,2009
Adventureland,2009
After Earth,2013
After the Sunset,2004
After.Life,2009
Agora,2009
Aladdin,1992
Alan Partridge: Alpha Papa,2013
Albert Nobbs,2011
Alexander,2004
Alfie,2004
Alice in Wonderland,2010
Alien,1979
Alien - La clonazione,1997
Alien: Covenant,2017
Alien³,1992
Aliens - Scontro finale,1986
Aliens vs. Predator 2,2007
All Eyez on Me,2017
All Is Lost - Tutto è perduto,2013
All the Boys Love Mandy Lane,2006
Alpha Dog,2006
American Beauty,1999
American Graffiti,1973
American History X,1998
American Honey,2016
American Life,2009
American Pie - Il matrimonio,2003
American Pie - Il primo assaggio non si scorda mai,1999
American Pie 2,2001
American Pie: Ancora insieme,2012
American Splendor,2003
Amityville Horror,2005
Amityville Horror,1979
An American Haunting,2005
Anaconda,1997
Anchorman 2 - Fotti la notizia,2013
Angry Birds - Il film,2016
Animal Kingdom,2010
Anna Karenina,2012
Annabelle,2014
Annabelle 3,2019
Another Earth,2011
Another Year,2010
Ant Bully - Una vita da formica,2006
Antichrist,2009
Ant-Man,2015
Apollo 13,1995
Apollo 18,2011
Apostolo,2018
Arturo,2011
Astro Boy,2009
ATM - Trappola mortale,2012
Attack the Block - Invasione aliena,2011
Aurora,1927
Austin Powers - Il controspione,1997
Automata,2014
Autopsy,2016
Autumn in New York,2000
Avengers: Infinity War,2018
Away from Her - Lontano da lei,2006
Babadook,2014
Baby Mama,2008
Bad Company - Protocollo Praga,2002
Bad Moms: Mamme molto cattive,2016
Bad Teacher - Una cattiva maestra,2011
Bad Words,2013
Bambi,1942
Bandits,2001
Barnyard - Il cortile,2006
Barton Fink - È successo a Hollywood,1991
Basic,2003
Basic Instinct,1992
Batman - Il ritorno,1992
Batman & Robin,1997
Batman Forever,1995
Batman v Superman: Dawn of Justice,2016
Batman: The Killing Joke,2016
Be Kind Rewind - Gli acchiappafilm,2008
Beastly,2011
Beautiful Boy,2018
Beautiful Creatures - La sedicesima luna,2013
Becoming Jane,2007
Bee Movie,2007
Beetlejuice - Spiritello porcello,1988
Before I Go to Sleep,2014
Behind the Mask - Vita di un Serial Killer,2006
Ben-Hur,1959
Bernie,2011
Better Watch Out,2016
Beverly Hills Chihuahua (Ci uauh a),2008
Beverly Hills Cop - Un piedipiatti a Beverly Hills,1984
Big Hero 6,2014
Big Mama,2000
Billy Elliot,2000
Billy Lynn: Un giorno da eroe,2016
Bird Box,2018
Birdemic: Shock and Terror,2010
Birdman o (L'imprevedibile virtù dell'ignoranza),2014
Birth - Io sono Sean,2004
Black Christmas - Un Natale rosso sangue,2006
Black Christmas (Un Natale rosso sangue),1974
Black Dynamite,2009
Black Mass - L'ultimo gangster,2015
Black Sheep - Pecore assassine,2006
Black Snake Moan,2006
BlacKkKlansman,2018
Blair Witch,2016
Blindspotting,2018
Bling Ring,2013
Blood Story,2010
Bloody Sunday,2002
Blow,2001
Blow Out,1981
Blow-Up,1966
Blue Jasmine,2013
Blue Ruin,2013
Blue Valentine,2010
Bolt - Un eroe a quattro zampe,2008
Bombshell - La voce dello scandalo,2019
Bone Tomahawk,2015
Boog & Elliot a caccia di amici,2006
Boogeyman - L'uomo nero,2005
Boogie Nights - L'altra Hollywood,1997
Botte da prof.,2017
Bowfinger,1999
Boxtrolls - Le scatole magiche,2014
Boy Erased - Vite cancellate,2018
Boys Don't Cry,1999
Brazil,1985
Breakfast Club,1985
Brick - Dose mortale,2005
Bride Wars - La mia migliore nemica,2009
Broken Flowers,2005
Brood - La covata malefica,1979
Brooklyn's Finest,2009
Brothers,2009
Bug - La paranoia è contagiosa,2006
Bullitt,1968
Bulworth - Il senatore,1998
Bumblebee,2018
Burlesque,2010
Burn After Reading - A prova di spia,2008
Byzantium,2012
Cabin Fever,2002
Cam,2018
Camp X-Ray,2014
Candyman - Terrore dietro lo specchio,1992
Captain Marvel,2019
Captivity,2007
Carnage,2011
Carol,2015
Cars 3,2017
Carter,1971
Casanova,2005
Case 39,2009
Casinò,1995
Cats,2019
Cell,2016
Cell Block 99: Nessuno può fermarmi,2017
Changeling,2008
Changeling,1980
Charlie Bartlett,2007
Chasing Mavericks - Sulla cresta dell'onda,2012
Chicken Little - Amici per le penne,2005
Chloe - Tra seduzione e inganno,2009
Christine - La macchina infernale,1983
Chronicle,2012
Cinderella Man - Una ragione per lottare,2005
City Island,2009
City of Crime,2019
Clerks - Commessi,1994
Clerks II,2006
Closed Circuit,2013
Closer,2004
Coach Carter,2005
Cobra,1986
Cocaine - La vera storia di White Boy Rick,2018
Codice Genesi,2010
Cogan - Killing Them Softly,2012
Coherence - Oltre lo spazio tempo,2013
Cold in July,2014
Collateral Beauty,2016
Color Out of Space,2019
Comic Movie,2013
Commando,1985
Compliance,2012
Conan the Barbarian,2011
Confidence - La truffa perfetta,2003
Contagious - Epidemia mortale,2015
Control,2007
Conviction,2010
Cooties,2014
Cop Car,2015
Cop Land,1997
Corsa a Witch Mountain,2009
Cosmopolis,2012
Crank: High Voltage,2009
Crawl - Intrappolati,2019
"Crazy Stupid Love.",2011
Creep,2014
Creepshow,1982
Creepshow 2,1987
Crimson Peak,2015
Critters - Gli extraroditori,1986
Crossroads - Le strade della vita,2002
Cursed - Il maleficio,2005
Cyrus,2010
Déjà vu - Corsa contro il tempo,2006
Daddy's Home,2015
Danny the Dog,2005
Dante's Peak - La furia della montagna,1997
Dark City,1998
Dark Crystal,1982
Dark Places - Nei luoghi oscuri,2015
Dark Shadows,2012
Dark Skies - Oscure presenze,2013
Dark Star,1974
Dark Water,2005
Darkest Minds,2018
Darkman,1990
Daybreakers - L'ultimo vampiro,2009
Dead Man's Shoes - Cinque giorni di vendetta,2004
Dead Silence,2007
Deadpool,2016
Dear John,2010
Dear White People,2014
Death Race,2008
Death Sentence,2007
Deep Impact,1998
Deepwater: Inferno sull'oceano,2016
Delivery Man,2013
Demolition Man,1993
Demolition: Amare e vivere,2015
Denti,2007
Destroyer,2018
Detachment - Il distacco,2011
Detroit,2017
Dick Tracy,1990
Dirty Dancing - Balli proibiti,1987
Disaster Movie,2008
Disconnect,2012
DOA: Dead or Alive,2006
Doctor Sleep,2019
Doctor Strange,2016
Dog Soldiers,2002
Doghouse,2009
Dogma,1999
Dogville,2003
Dolemite Is My Name,2019
Dom Hemingway,2013
Domino,2005
Don Jon,2013
Donnie Darko,2001
Don't Worry,2018
Doomsday - Il giorno del giudizio,2008
Downton Abbey,2019
Dracula il vampiro,1958
Dracula's Legacy - Il fascino del male,2000
Draft Day,2014
Dragon Trainer,2010
Dragon Trainer - Il mondo nascosto,2019
Dragon Trainer 2,2014
Dream House,2011
Dreamgirls,2006
