The Gold Rush,1925
The Phantom of the Opera,1925
The Lodger: A Story of the London Fog,1927
Wings,1927
The Jazz Singer,1927
All Quiet on the Western Front,1930
Animal Crackers,1930
City Lights,1931
Dr. Jekyll and Mr. Hyde,1931
Tarzan the Ape Man,1932
Scarface,1932
Grand Hotel,1932
I Am a Fugitive from a Chain Gang,1932
42nd Street,1933
King Kong,1933
Design for Living,1933
It Happened One Night,1934
Tarzan and His Mate,1934
The Thin Man,1934
The 39 Steps,1935
Top Hat,1935
A Night at the Opera,1935
Mutiny on the Bounty,1935
Captain Blood,1935
Modern Times,1936
Things to Come,1936
Mr. Deeds Goes to Town,1936
Fury,1936
Secret Agent,1936
Swing Time,1936
My Man Godfrey,1936
After the Thin Man,1936
The Awful Truth,1937
Make Way for Tomorrow,1937
A Day at the Races,1937
Captains Courageous,1937
Lost Horizon,1937
Bringing Up Baby,1938
Jezebel,1938
The Adventures of Robin Hood,1938
Holiday,1938
You Can't Take It With You,1938
Angels with Dirty Faces,1938
Son of Frankenstein,1939
Gunga Din,1939
Stagecoach,1939
Wuthering Heights,1939
Dark Victory,1939
Jamaica Inn,1939
Young Mr. Lincoln,1939
Goodbye Mr. Chips,1939
The Wizard of Oz,1939
Ninotchka,1939
Mr. Smith Goes to Washington,1939
The Roaring Twenties,1939
Destry Rides Again,1939
Gone with the Wind,1939
The Hunchback of Notre Dame,1939
The Shop Around the Corner,1940
His Girl Friday,1940
Pinocchio,1940
The Grapes of Wrath,1940
Rebecca,1940
My Favorite Wife,1940
Pride and Prejudice,1940
The Great Dictator,1940
The Mark of Zorro,1940
Fantasia,1940
The Letter,1940
The Philadelphia Story,1940
The Thief of Bagdad,1940
High Sierra,1941
Mr. & Mrs. Smith,1941
The Lady Eve,1941
Meet John Doe,1941
Citizen Kane,1941
Man Hunt,1941
Sergeant York,1941
Dr. Jekyll and Mr. Hyde,1941
The Little Foxes,1941
How Green Was My Valley,1941
Suspicion,1941
The Maltese Falcon,1941
Sullivan's Travels,1941
Ball of Fire,1941
Woman of the Year,1942
To Be or Not to Be,1942
